filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
NNL_1001-0627_run-001_DTIRL_000,4.0,0.02321176425,5.11690395,4.0783287,32.605571150779724,0.8757148590640338,-0.39371120168914825,0.0214481845,0.7646484375,845305.03125,1.5,1.5,1.5,-105.0,84.4039306640625,-32.0522575378418,120.0,135.5,102.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.392063,1700.0,10.352,3000.0,1.000000478667885,0.022207781188653908,0.007561330541849956,0.0
NNL_1001-0628_run-001_DTILR_000,4.0,0.02206225775,4.1897751,3.15741645,27.39028036594391,0.6785372603626609,-0.3773548212910003,0.0210768115,0.77001953125,427166.15625,1.5,1.5,1.5,-105.5,83.5,-67.33232116699219,109.5,132.0,96.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.290178,1700.0,10.352,3000.0,1.000000478667885,0.32631480343545904,0.0018548947857051573,0.0
NNL_1001-0628_run-001_DTIRL_000,4.0,0.026116404,4.840558175,3.7780575499999998,27.665534615516663,0.7584674746723934,-0.37740572643679404,0.02304962475,0.78515625,982423.6875,1.5,1.5,1.5,-105.5,83.5,-67.33232116699219,121.75,136.0,99.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.290178,1700.0,10.352,3000.0,1.000000478667885,0.23733623658160688,0.0007556153175199107,0.0
NNL_1001-0629_run-001_DTILR_000,4.0,0.030154868,5.134959975,4.010295425,31.07174038887024,0.8380568426566037,-0.4115440986742085,0.027520528,0.7470703125,1187971.3125,1.5,1.5,1.5,-105.0,81.55712890625,-42.279090881347656,125.0,140.0,102.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.415058,1700.0,10.352,3000.0,1.000000478667885,0.10493483529103916,0.014684680038404868,0.0
NNL_1001-0629_run-001_DTIRL_000,4.0,0.02551498775,5.241351925,4.1240486,31.732838749885563,0.840918139016885,-0.39597341453731016,0.027730666,0.7705078125,1029291.46875,1.5,1.5,1.5,-105.0,81.55712890625,-42.279090881347656,122.75,133.75,101.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.415058,1700.0,10.352,3000.0,1.000000478667885,0.1637093488039331,0.006313856236900305,0.0
NNL_1001-0630_run-001_DTILR_000,4.0,0.022858788999999997,4.54294565,3.539541775,33.725506067276,0.8730401243484939,-0.37522513811498104,0.020079363,0.7578125,643993.875,1.5,1.5,1.5,-110.5972900390625,85.9793701171875,-61.75363159179688,131.5,129.0,101.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.354803,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0072216933765668345,0.0
NNL_1001-0630_run-001_DTIRL_000,4.0,0.01924553225,4.666812350000001,3.674772375,33.09137523174286,0.8518894371743224,-0.36201821967322484,0.019419808,0.77099609375,471082.5,1.5,1.5,1.5,-110.5972900390625,85.9793701171875,-61.75363159179688,130.25,130.0,100.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.354803,1700.0,10.352,3000.0,1.000000478667885,0.0,0.012699094829390049,0.0
NNL_1001-0633_run-001_DTILR_000,4.0,0.037280374500000005,5.727669375,4.605601425,29.509158730506897,0.8235115247124666,-0.4199674568107612,0.02536277175,0.7626953125,996008.0625,1.5,1.5,1.5,-107.533935546875,93.417724609375,-78.48970794677734,118.5,134.75,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.235766,1700.0,10.352,3000.0,1.000000478667885,0.21404582156944732,0.008647028354338672,0.0
NNL_1001-0633_run-001_DTIRL_000,4.0,0.027170194999999998,5.535711474999999,4.461696425,31.29080295562744,0.8586150109757005,-0.38888936714853095,0.02270864275,0.7724609375,901240.59375,1.5,1.5,1.5,-107.533935546875,93.417724609375,-78.48970794677734,120.0,132.25,103.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.235766,1700.0,10.352,3000.0,1.000000478667885,0.09018440265193386,0.002387293260118567,0.0
NNL_1001-0634_run-001_DTILR_000,4.0,0.0256123015,4.7432833,3.686717775,32.33694911003113,0.8643764325019254,-0.3433327957206482,0.02196315275,0.73583984375,748547.15625,1.5,1.5,1.5,-105.0,88.9649658203125,-97.846435546875,118.5,135.5,98.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.338432,1700.0,10.352,3000.0,1.000000478667885,0.003205979909033926,0.004623230821780376,0.0
